SolarW,HouseW,BattW,GridW,BattCharge,SolarF,HouseF,BattF,GridF
5.3,1588.7,1570,1.02,97.14,60.12,60.12, 60.1,60.12
6.26,1608.9,1610,1.1,97.13,60.12,60.12, 60.1,60.12
5.85,1609,1600,1.08,97.13,60.12,60.12, 60.1,60.12
5.43,1604.7,1610,0.97,97.13,60.12,60.12, 60.1,60.12
5.68,1558.3,1570,1.19,97.13,60.12,60.12, 60.1,60.12
6.04,1605.1,1590,1.03,97.13,60.12,60.12, 60.1,60.12
6.26,1593.1,1580,1.33,97.13,60.12,60.12, 60.1,60.12
5.6,1587.6,1580,1.05,97.13,60.12,60.12, 60.1,60.12
5.22,1584.7,1580,1.11,97.13,60.12,60.12, 60.1,60.12
5.82,1589.6,1600,1.13,97.13,60.12,60.12, 60.1,60.12
6.56,1603.7,1590,1.21,97.13,60.12,60.12, 60.1,60.12
5.96,1589.2,1590,1,97.13,60.12,60.12, 60.1,60.12
5.69,1572.8,1570,1.16,97.13,60.12,60.12, 60.1,60.12
5.91,1580.3,1570,0.86,97.12,60.12,60.12, 60.1,60.12
6.34,1607.8,1610,1.02,97.12,60.12,60.12, 60.1,60.12
6.26,1582.1,1560,1.1,97.12,60.06,60.06, 60.1,60.06
5.49,1586.8,1570,0.97,97.12,60.06,60.06, 60.1,60.06
5.58,1573.1,1590,1.05,97.12,60.06,60.06, 60.1,60.06
6.31,1589.9,1570,0.99,97.12,60.06,60.06, 60.1,60.06
6.48,1609.7,1600,1.14,97.12,60.06,60.06, 60.1,60.06
6.31,1585.9,1550,1.22,97.12,60.06,60.06, 60.1,60.06
5.98,1559.3,1550,0.94,97.12,60.06,60.06, 60.1,60.06
6.15,1615.7,1600,0.91,97.12,60.06,60.06, 60.1,60.06
6.62,1597,1600,1.21,97.12,60.06,60.06, 60.1,60.06
6.45,1588.7,1600,0.96,97.12,60.06,60.06, 60.1,60.06
6.01,1583.4,1590,0.94,97.12,60.06,60.06,60.09,60.06
5.9,1565.6,1550,1.08,97.12,60.06,60.06,60.09,60.06
6.43,1585,1550,0.97,97.12,60.12,60.12,60.09,60.12
6.72,1604.9,1590,1.1,97.12,60.12,60.12,60.09,60.12
6.21,1582.6,1590,1.13,97.12,60.12,60.12,60.09,60.12
6.15,1565.2,1550,1.27,97.11,60.12,60.12,60.08,60.12
6.45,1588.6,1600,1.1,97.11,60.12,60.12,60.09,60.12
6.62,1604.6,1600,1.05,97.11,60.12,60.12, 60.1,60.12
6.26,1597.6,1580,0.97,97.11,60.12,60.12, 60.1,60.12
5.93,1585.6,1580,1.11,97.11,60.12,60.12, 60.1,60.12
6.07,1595.3,1570,0.94,97.11,60.12,60.12, 60.1,60.12
6.34,1600,1610,0.99,97.11,60.12,60.12, 60.1,60.12
